红海行动,Operation Red Sea,2018/2/16,8.4,第8届北京国际电影节-天坛奖 最佳视觉效果奖/第25届北京大学生电影节-最佳影片奖,中国大陆/中国香港,动作/战争,林超贤,张译/黄景瑜/海清/杜江/蒋璐霞,汉语/英语,中东国家伊维亚共和国发生政变，武装冲突不断升级。刚刚在索马里执行完解救人质任务的海军护卫舰临沂号，受命前往伊维亚执行撤侨任务。舰长高云（张涵予 饰）派出杨锐（张译 饰）率领的蛟龙突击队登陆战区，护送华侨安全撤离。谁知恐怖组织扎卡却将撤侨部队逼入交火区，一场激烈的战斗在所难免。与此同时，法籍华人记者夏楠（海清 饰）正在伊维亚追查威廉·柏森博士贩卖核原料的事实，而扎卡则突袭柏森博士所在的公司，意图抢走核原料。混战中，一名隶属柏森博士公司的中国员工成为人质。为了解救该人质，八名蛟龙队员必须潜入有150名恐怖分子的聚集点，他们用自己的信念和鲜血铸成中国军人顽强不屈的丰碑！ ,国产类型片的里程碑，2个多小时节奏全程紧绷清晰，真热血真刺激。叙事，人物，情感，动作，制作都几乎无可挑剔。该有的都有，演员群像都比想象中出色，但最出色的还是导演。这个格局，超越某狼N倍。,,
香水,Perfume: The Story of a Murderer,2006/9/7,8.4,暂无, 德国 / 法国 / 西班牙 / 美国,剧情/犯罪/奇幻,汤姆·提克威,本·卫肖/艾伦·瑞克曼/蕾切儿·哈伍德/达斯汀·霍夫曼, 英语,十八世纪，让-马普蒂斯特·格雷诺耶（本·韦肖BenWhishaw饰）出生在巴黎最肮脏、最恶臭不堪的地方——鱼市场上。格雷诺耶天生对气味有着惊人的天赋：无论恶臭还芳香，他都一一记住，并能轻易分辨各种气味。当他在孤儿院长到13岁的时候，被院长卖给了制皮匠。格雷诺耶在制皮铺过着犬马不如的生活。机缘巧合，格雷诺耶在香水巴尔蒂尼面前展露了其过人的天赋，进入了香水铺工作。但格雷诺耶并不仅仅满足于制作出世界上最芳香的香水，他梦想学得如何保存万物气味的方法。巴尔蒂尼告诉格雷诺耶香水的起源地在格拉斯，那里的人知道保存气味的方法。格雷诺耶拿着巴尔蒂尼的推荐信来到了格拉斯。格雷诺耶爱上了青春少女的体香，为了把这种香味保存下来，格雷诺耶最终走上了杀手的道路。,一个单凭体香达到高潮的男人/广场上，众人皆醉他独醒，众人皆X他盛装。/这个故事如何不是比嫌疑犯x的献身要好上数百倍的大气故事呢？巴黎、格拉斯，每个城市里为了香味而忘我且凶残的努力——这并非凶残，而是纯粹的追求人生中唯一至高至圣的目标，找到那个生命中最后的味道。而一旦这个味道得到了，他生活的一切也就失去了意义，反而重拾当年全部细节的美好，最终就回归了起点，在鱼市场的臭味里让一切归位了。,,
恐怖游轮,Triangle,2009/10/16,8.4,暂无, 英国 / 澳大利亚,剧情/悬疑/惊悚,克里斯托弗·史密斯,梅利莎·乔治/利亚姆·海姆斯沃斯/迈克尔·多曼/瑞秋·卡帕尼, 英语,单亲母亲杰西（梅利莎·乔治饰）和一帮朋友乘游艇出海游玩，但她总有一种有不好的事情发生的感觉。不久，他们便在海上遭遇一场强烈的风暴。游艇翻船，众人落海，几经挣扎他们好不容易爬到游艇残骸上来。正当他们无计可施之时，一艘巨大的游轮向众人缓缓驶来。众人欣喜过望，未加思索便登上这艘名为“艾俄洛斯”的游轮，结果发现这竟是一艘1930年便告失踪的神秘之船，而船上更是空无一人。随处可见的鲜血、神秘的指示以及突如其来的凶杀事件，将这群男女带入万劫不复的恐怖轮回之中……,知道自己命运的人最恐怖/一点细节都不浪费多余的精巧结构型电影～把循环轮回的结构发挥到一个及至～女主的美腿穿梭在N次的命运交汇过程中～层层推进又把细节先后安排滴水不露～导演功力真的很厉害～为结构型命运电影又增加了一个辉煌～/有小聪明，少大智慧~详细一点说：导演有一定匠心，但是全片看太注重一些边边角角部分，整体结构上显欠缺，解释不合理，主线力不从心，细节再装扮的故弄玄虚也算不上上佳之作，姑且三星,,
你的名字。,君の名は。,2016/12/2,8.4,第40届日本电影学院奖-最佳动画片(提名)/第44届动画安妮奖-最佳独立动画长片(提名)/第11届亚洲电影大奖-最佳编剧(提名), 日本,剧情/爱情/动画,新海诚,神木隆之介/上白石萌音/长泽雅美/市原悦子, 日语,在远离大都会的小山村，住着巫女世家出身的高中女孩宫水三叶（上白石萌音配音）。校园和家庭的原因本就让她充满烦恼，而近一段时间发生的奇怪事件，又让三叶摸不清头脑。不知从何时起，三叶在梦中就会变成一个住在东京的高中男孩。那里有陌生的同学和朋友，有亲切的前辈和繁华的街道，一切都是如此诱人而真实。另一方面，住在东京的高中男孩立花泷（神木隆之介配音）则总在梦里来到陌生的小山村，以女孩子的身份过着全新的生活。许是受那颗神秘彗星的影响，立花和三叶在梦中交换了身份。他们以他者的角度体验着对方的人生，这期间有愤怒、有欢笑也有暖心。只是两人并不知道，身份交换的背后隐藏着重大而锥心的秘密……本片为2016年度日本本土影片票房冠军。,错过和努力才是爱和青春的墓志铭/只有新海诚才能让我一次又一次感受到爱情的纯粹与美好。被爱情伤得遍体鳞伤的我，不再相信爱情的我，突然会想，不如再勇敢地去谈一场恋爱？嗯，好像可以！/新海诚终于会讲一个复杂故事了，真不容易啊！当年那部搔首弄姿、无病呻吟的“言叶之庭”差点让我转成终身黑，“君之名”却轰出了我睽违已久的少女心。彗星降临的末世情怀，穿越时空的灵之绳结，只有7秒钟记忆的鱼...星空、爱情以及所有遇见都是注定。,,
唐伯虎点秋香,唐伯虎點秋香,1993/7/1,8.4,暂无, 香港,喜剧/爱情/古装,李力持,周星驰/巩俐/陈百祥/郑佩佩, 粤语,唐伯虎（周星驰饰）身为江南四大才子之首，却有道不尽的心酸。宁王想唐伯虎帮忙图谋作反，唐伯虎只好用内功改变脉象，令众人都相信他命不久矣。母亲埋怨他不应该把功夫暴露，因为他们家族一直被当年的仇人追杀。唐伯虎在与朋友出游时，遇到了貌若天仙的秋香并对她一见钟情，决心要到华府当家丁以追求秋香，唐伯虎被取名华安。期间华太师遇到了宁王上门刁难，幸好有唐伯虎出面相助，并暴露了自己是唐伯虎的身份。秋香才知道华安是自己欣赏的唐伯虎。华夫人跟唐家有怨，因此二人便开始斗法。怎料宁王跟夺面书生再次上门，华夫人不是对手，幸得唐伯虎出手，华夫人也答应把秋香许配给唐伯虎。,我上等威風顯現一身虎膽／你下流賤格露出半個龜頭。/经典中的经典/哈哈哈.其实我是周星星FANS，心情不好看他的电影会边开朗.这个看了好多次了.一群人一起看最好玩.,,
青蛇,暂无,1993/11/4,8.4,第13届香港电影金像奖-最佳美术指导(提名)/第13届香港电影金像奖-最佳服装造型设计(提名)/第13届香港电影金像奖-最佳原创电影音乐(提名), 香港,剧情/奇幻/古装,徐克,张曼玉/王祖贤/赵文卓/吴兴国, 粤语,南宋是一个人妖难分的时期，法海和尚（赵文卓饰）到处收服妖精，也扰乱了在西湖底修炼的白青二蛇。青（张曼玉饰）曾获白（王祖贤饰）相救，二者便以姐妹相称。姐妹俩受惑佯装成人生活在民间，白更嫁于老实书生许仙，青也同时看上了许仙，便常常以媚态勾引许仙，无奈许仙只深爱白一个。白开设了药店，以为可以自此过上安定的生活，可许仙却受不了青的百般挑逗，更发现了青白二蛇的真实身份，可他却不舍得离开家中的天姿国色。法海得知了青白二蛇的下落，更抓走了许仙。原来白为了爱情放弃修成正果，更怀有了身孕。为了救回丈夫，二蛇与法海展开了搏斗……,很久以前的老片子了，看了却不知道多少遍了。小时候看的是妖魔鬼怪，大些时候看的是情窦初开，再大的时候看的是你情我欲，再大的时候看到的悲悲戚戚，刚刚又看了一遍，我却什么都没看到。芸芸众生，形形色色的人，光怪离奇的怪。活着？修行？为了什么？无欲无求。可是我们是俗人，怎么/赵文卓太帅了太帅了！！！！！/九三年的徐克真先锋,,
美国丽人,American Beauty,1999/9/8,8.5,第72届奥斯卡金像奖-最佳影片/第53届英国电影学院奖-电影奖 最佳影片/第24届日本电影学院奖-最佳外语片(提名), 美国,剧情/爱情/家庭,萨姆·门德斯,凯文·史派西/安妮特·贝宁/索拉·伯奇/韦斯·本特利, 英语,莱斯特（凯文·史派西KevinSpacey饰）跟许多中年男人一样，遇到了各种各样的人生难题。他在一个广告公司工作，成绩平平，但是妻子却比他混得出色，一派女强人作风。这个平凡的男人还有一个未成年的女儿珍妮（索拉·伯奇ThoraBirch饰）。珍妮性格叛逆，被邻居偷拍裸照还觉得很好玩，满不在乎。她有一个要好的同学安吉拉（米娜·苏瓦丽MenaSuvari饰），当莱斯特在拉拉队的人群中看到了充满青春活力的安吉拉，一切都改变了。莱斯特陷入了阿安吉拉年轻鲜活的气息当中。他死气沉沉的心境有了燃烧的感觉。而此时，他的妻子，也和另外一个富商有了私情。当莱斯特得到了他心目中的年轻女神，枪声也随之响起……,那些崩溃的人生。当你的生活被清楚的界定为狭隘的和低级的，如此巨大的羞辱之下，我没有看到慈悲。但这个世界确实太多美好的事物，如果你听到她们的召唤，就会从中得到慰藉，并被引导向真正的生活。即使到最后那只是不凡的梦想，甚或飞蛾扑火，也会有如秋叶般静美。/美国电影最接近悲剧的处理，可惜还差那么一点点，因为好莱坞不知道什么叫做悲剧/中产阶级是最适合谎言的人群，他们总是可以表面上冠冕堂皇，真实的内心早就被假象掩盖了，即使旁观者都看清了，他们也不会承认，真相也许永远只有他们自己知道。讲故事点到即止最高明，总有有心人会懂得，还可以肆意联想，更添回味。人啊，总得为真实的自己活那么一回，没什么好可耻的！★★★★,,
小萝莉的猴神大叔,Bajrangi Bhaijaan,2018/3/2,8.5,第61届印度电影观众奖-最佳故事/第2届豆瓣电影年度榜单-评分最高的外语电影(提名)/第6届豆瓣电影鑫像奖-鑫豆单元 最佳影片(外语)(提名), 印度,剧情/喜剧/动作,卡比尔·汗,萨尔曼·汗/哈莎莉·马洛特拉/卡琳娜·卡普尔/纳瓦祖丁·席迪圭, 印地语 / 乌尔都语,电影讲述了一个拥有虔诚宗教信仰的单纯印度男人帮助巴基斯坦哑女与父母重聚的故事。印度教教徒帕万（萨尔曼·汗饰）在一次机缘巧合下结识了与母亲走失并有语言障碍的穆斯林小女孩沙希达（哈尔莎莉·马尔霍特饰）。在得知沙希达是巴基斯坦人后，帕万决定帮助她回家，可在回巴基斯坦途中却四处碰壁，遭遇领事馆冲突、被旅游局欺骗之后，帕万立志将不惜一切代价尽其所能带沙希达回到自己的家乡与家人团聚。,近期唯一泪眼朦胧的电影，不能说电影拍的有多好，只是题材上升到了一种高度，宗教，政府，国家其实都是为人服务的，在爱的面前，这些都要让路，人性是能冲破这种种隔阂最后让奇迹出现发出呐喊声音的，也能判断是非对错的，哪怕那些违犯法律，制度，可这尊重人性，最后的最后那场景的确很震撼。/不说了，洗脸去了/推荐！推荐！推荐！理由一，宗教、国家、种群冲突，人性美与规则法律的碰撞。小事件大主题。理由二，有血性，有情怀，有毅力，有原则，有大爱。理由三，男主表现极佳，小萝莉笑容极甜。理由四，片长159分，但看着轻松愉悦。,,
再次出发之纽约遇见你,Begin Again,2015/6/26,8.5,第87届奥斯卡金像奖-最佳原创歌曲(提名)/第17届上海国际电影节-金爵奖 最佳影片(提名)/第1届豆瓣电影年度榜单-评分最高的外语电影(提名), 美国,喜剧/爱情/音乐,约翰·卡尼,凯拉·奈特莉/马克·鲁弗洛/亚当·莱文/詹姆斯·柯登, 英语,格雷塔（凯拉·奈特莉KeiraKnightley饰）抛弃了一切跟随着男友戴夫（亚当·李维AdamLevine饰）来到美国纽约实现他们的音乐和爱情梦想，没想到曾经幻想过的美好一切化作泡影，在获得了更好的工作机会后，戴夫果断抛弃了格雷塔，留下她一人苦苦在底层挣扎。丹（马克·鲁法洛MarkRuffalo饰）最近的生活也不好过，他发现自己无法从思念前妻马瑞安（凯瑟琳·基纳CatherineKeener饰）的感情中走出来，与此同时，他的女儿维奥莱特（海莉·斯坦菲尔德HaileeSteinfeld饰）正处于一生中最叛逆的阶段。丹和格雷塔，命运让这失意的两人于一间小小的酒吧里相遇了，等待着他们的，会是怎样充满波折而又浪漫满满的故事呢？,通过一首歌就听出男友出轨，恋爱中的人果然个个心思细腻如神探。几场街演好喜欢，詹胖子好萌。KK大概只有听歌声才像个妹子，说话时的血盆大口能忍就忍了，但唱歌时候注意一下表情管理啊【笑cry/KeiraKnightley的衣服真好看，穿出一种闲闲的、不用力过猛的精致。平胸果然是王道，轻盈、削薄、纤细…像未发育起来的小女生，又像清秀版的小男生。只要不用那著名的下巴颏演戏，KK也不是很讨厌嘛。MarkRuffalo这只卷毛，每次出来我都想让女猪脚跟他滚床单否则不能尽兴究竟是什么心理。/电影给4星，歌曲加一星。原声带真的是要进入本年度最佳电影原声候选了。,,
黑天鹅,Black Swan,2010/9/1,8.5,第83届奥斯卡金像奖-最佳影片(提名)/第67届威尼斯电影节-金狮奖(提名)/第68届金球奖-电影类 最佳剧情片(提名), 美国,剧情/惊悚,达伦·阿伦诺夫斯基,娜塔莉·波特曼/米拉·库尼斯/文森特·卡索/芭芭拉·赫希, 英语 / 法语 / 意大利语,纽约剧团要重排《天鹅湖》，因前领舞Beth（薇诺娜·赖德WinonaRyder饰）离去，总监Thomas（文森特·卡索尔VincentCassel.饰）决定海选新领舞，且要求领舞要分饰黑天鹅与白天鹅。Nina（娜塔莉·波特曼NataliePortman饰）自幼练习芭蕾舞，在母亲的细心关照下，技艺出众。这次，她希望可以脱颖而出。然而，在竞争中，她发现心机颇重的Lily（米拉·库妮丝MilaKunis饰）是自己的强劲对手。在选拔中，她的白天鹅表演的无可挑剔，但是黑天鹅不及Lily。她感到身心俱疲，回家还发现了背部的红斑与脚伤。她一个人找到总监，希望争取一下。总监趁机亲吻她，却被她强硬拒绝。结果，总监居然选了她。队友怀疑她靠色相上位。在酒会上，Beth甚至当众发泄。这种压力外加伤病，一直影响着她的发挥。总监启发她要释放激情，表现出黑天...(展开全部),那一颗星星是被吓掉的/舞台上那段黑天鹅太惊艳了！！！！！！Natalie这牛逼演技！！！！！！/在离成功还差一步之遥的时候请不要丧心病狂,,
